번호	사업장명	소재지전체주소
1	스카이 게스트하우스	서울특별시 영등포구 신길동 186-275번지 
2	Guesthouse KW hongdae	서울특별시 마포구 연남동 382-10번지 403호
3	소담게스트하우스	서울특별시 마포구 노고산동 107-29번지 302호
4	Dustin Guest House	서울특별시 마포구 서교동 346-42번지 
5	패밀리하우스텔	서울특별시 마포구 동교동 198-29번지 1~2층 
6	나무	서울특별시 마포구 연남동 504-42번지 1동 101호
7	스튜디오 41번가	서울특별시 마포구 연남동 561-41번지 2~3층 
8	ICOS	서울특별시 마포구 노고산동 33-5번지 
9	JJ게스트하우스	서울특별시 마포구 동교동 113-23번지 
10	오아시스 게스트하우스	서울특별시 마포구 서교동 336-9번지 1~2층 
11	헬로 스트레인져 게스트하우스	서울특별시 마포구 연남동 561-61번지 
12	르 솔	서울특별시 마포구 동교동 203-29번지 
13	버즈네스트	서울특별시 마포구 연남동 561-34번지 
14	SPACE TORRA	서울특별시 마포구 연남동 566-63번지 
15	하이 게스트하우스	서울특별시 마포구 서교동 468-20번지 
16	오블루	서울특별시 마포구 연남동 566-4번지 
17	김치 홍대 게스트하우스	서울특별시 마포구 연남동 570-16번지 
18	컴인 게스트하우스	서울특별시 마포구 서교동 358-91번지 
19	우주 하우스	서울특별시 성북구 동소문동1가 57-2번지 
20	호자원(HOJAWON)	서울특별시 성북구 종암동 104-1번지 SK아파트 
21	에이비앤비 길음뉴타운(Airbnb Gireum Newtown)	서울특별시 성북구 길음동 1281번지 길음뉴타운 403동 1204호
22	B&B HAO	서울특별시 성북구 정릉동 716-111번지 
70	홈스테이 마마하우스	서울특별시 중구 충무로4가 120-3번지 진양아파트 709 
23	Song's BNB	서울특별시 서초구 서초동 1454-32번지 한신플러스타운 102동 1506호
24	JOY HOME	서울특별시 서초구 서초동 1682번지 106동 1604호
25	THAT HOUSE	서울특별시 서대문구 창천동 501-16번지 
26	굿모닝코리아 게스트하우스	서울특별시 서대문구 창천동 500-3번지 1층 
27	GOLDEN FLEECE	서울특별시 서대문구 창천동 366번지 
28	한소	서울특별시 서대문구 창천동 429번지 12층 
29	Home Sweet Home	서울특별시 서대문구 북가좌동 469번지 306동 403호
30	다산하우스	서울특별시 강서구 공항동 34-37번지 
31	회랑정	서울특별시 강서구 등촌동 643-40번지 
32	Nice Neighbor Guesthouse	서울특별시 강서구 등촌동 523-5번지 501호
33	이찬규 외국인관광도시민박업	서울특별시 송파구 오금동 138번지 우방아파트 101동 508호
34	Goldlady's House	서울특별시 송파구 잠실동 19번지 잠실엘스 128동 1503호
35	Tina`s Homestay	서울특별시 송파구 삼전동 128-1번지 동화빌딩 5층 
36	리리맘하우스	서울특별시 송파구 잠실동 19번지 잠실엘스 157동 303호
37	Groove City guest house	서울특별시 송파구 풍납동 513번지 금강캐스빌아파트 101동 301호
38	유정홈스테이	서울특별시 송파구 잠실동 40번지 갤러리아팰리스 C동 3903호
39	잠실게스트하우스	서울특별시 송파구 신천동 17-6번지 
40	잠실웰컴하우스	서울특별시 송파구 풍납동 291-14번지 
41	롯데잠실게스트하우스	서울특별시 송파구 신천동 11-8번지 더샵스타리버 101-2002 
42	마음이 머무는 김여사의 사랑채	서울특별시 송파구 잠실동 -501번지 20통2반 
43	Space Hue	서울특별시 송파구 방이동 
44	Comestay	서울특별시 송파구 풍납동 301호
45	객	서울특별시 송파구 잠실동 204번지 
46	고은빌 게스트하우스	서울특별시 송파구 거여동 549-9번지 
47	호수길 게스트하우스	서울특별시 송파구 석촌동 180-9번지 401호
48	스윗 서울	서울특별시 송파구 잠실동 214-9번지 
49	베라노	서울특별시 송파구 풍납동 260번지 현대리버빌아파트 301동 1804호
50	Jamsil's comfort zone	서울특별시 송파구 신천동 20-4번지 진주아파트 5동 1002호
51	리센츠 콘도미니엄 타워	서울특별시 송파구 잠실동 22번지 리센츠 244동 2305호
52	Songpa lovely room	서울특별시 송파구 방이동 119-19번지 401호
53	네이처 하우스	서울특별시 송파구 가락동 149-9번지 네이처 하우스 401호
54	202 stay	서울특별시 송파구 송파동 18-2번지 202호
55	문정 게스트하우스	서울특별시 송파구 문정동 98-1번지 백송빌라 301호
56	Heidi house	서울특별시 송파구 석촌동 159-10번지 레이크빌 201호
57	CN House	서울특별시 송파구 잠실동 218-15번지 
58	Jinju stay	서울특별시 송파구 신천동 20-4번지 진주아파트 12동 505호
59	킴벌리 홈스테이	서울특별시 송파구 신천동 17번지 파크리오 112동 3504호
60	Studio GREEN	서울특별시 송파구 송파동 57-2번지 
61	레이크 홈스테이	서울특별시 송파구 잠실동 44번지 레이크팰리스 아파트 116동 801호
62	오잉 잠실	서울특별시 송파구 삼전동 170-1번지 
63	엑스플레이	서울특별시 송파구 송파동 109-6번지 301호
64	Jamsil Story	서울특별시 송파구 잠실동 22번지 
65	길스테이	서울특별시 송파구 송파동 20-14번지 일송빌라 501호
66	쿠니하우스	서울특별시 송파구 석촌동 24-3번지 515호
67	잠실 명성게스트하우스	서울특별시 송파구 방이동 58-33번지 C동 301호
68	Hi-Heal	서울특별시 송파구 송파동 43-6번지 302호
69	시인의 집 민박	서울특별시 송파구 삼전동 8-4번지 501호
71	대림1059	서울특별시 중구 산림동 207-2번지 1059호
72	Happy tree guesthouse	서울특별시 마포구 서교동 335-23번지 201호
73	블루스테이(Blue Stay)	서울특별시 강서구 화곡동 504-24번지 202호
74	체라스코지서울(cera's cosy seoul)	서울특별시 강서구 방화동 607-107번지 1층 
75	망고스틴 2호	서울특별시 강서구 화곡동 111-110번지 2호
76	망고스틴 3호	서울특별시 강서구 화곡동 111-110번지 3호
77	Pineville Room A.B.C	서울특별시 강서구 가양동 1459번지 109동 304호
78	리버사이드	서울특별시 강서구 개화동 460-56번지 
79	Sunny House	서울특별시 강서구 화곡동 924-10번지 스카이아파트 804호
80	L House	서울특별시 강서구 방화동 559-12번지 
81	오가영홈스테이	서울특별시 송파구 가락동 176번지 삼환가락아파트 1동 502호
82	나루홈스테이	서울특별시 송파구 신천동 17번지 파크리오 205동 2102호
83	블루베리홈스테이	서울특별시 송파구 방이동 225번지 잠실3차한양아파트 2동 402호
84	진스테이송파	서울특별시 송파구 삼전동 8번지 레이크시티 701~7호
85	탑홈스테이	서울특별시 송파구 방이동 98-8번지 중앙빌리지 201호
86	레이크 게스트하우스	서울특별시 송파구 석촌동 16-7번지 
87	아임그린	서울특별시 성북구 성북동 217-25번지 
88	서울 낙산 스테이(Seoul Naksan stay)	서울특별시 성북구 삼선동1가 293-5번지 
89	서울 성북 홈스테이	서울특별시 성북구 하월곡동 46-73번지 코업스타클래스 102동 1603호
90	레드2	서울특별시 중구 남산동2가 43-3번지 1층 
91	Lodge 82	서울특별시 영등포구 신길동 65-101번지 
92	Sweet Home Seoul	서울특별시 영등포구 영등포동8가 76-1번지 
93	브라운스톤	서울특별시 성북구 돈암동 636번지 브라운스톤 돈암 아파트 101동 1604호
94	NJOY 게스트 하우스	서울특별시 용산구 서계동 223-5번지 
95	K-WINGS	서울특별시 성북구 돈암동 15-1번지 삼성아파트 
96	Cozzzy Guest House	서울특별시 마포구 연남동 571-6번지 2~3층 
97	드림하우스3	서울특별시 중구 남창동 190-14번지 4층 
98	퍼스트하우스	서울특별시 중구 충무로4가 120-3번지 진양아파트 1동 1159호
99	윤 게스트하우스	서울특별시 중구 남산동2가 45-7번지 1~2층 
100	남대문게스트하우스2	서울특별시 중구 회현동1가 82-10번지 1~2층 
101	오주 게스트하우스	서울특별시 중구 신당동 405-7번지 503호
102	제이오너 Ⅱ	서울특별시 중구 회현동2가 42-10번지 302호
103	제이오너 Ⅲ	서울특별시 중구 회현동2가 42-10번지 202호
104	마마 게스트하우스2	서울특별시 중구 예장동 8-44번지 지층 
105	사랑게스트하우스	서울특별시 중구 쌍림동 151-52번지 1~2층 
106	제이스토리 게스트하우스	서울특별시 중구 중림동 132-2번지 1~3층 
107	낙원(PARADISE) 게스트하우스	서울특별시 중구 장충동1가 38-65번지 1~2층(201호 제외) 
108	드리머스 게스트하우스	서울특별시 중구 예장동 1-20번지 2층 
109	이브	서울특별시 중구 남산동2가 21-3번지 2층 
110	게스트하우스 더힐2	서울특별시 중구 예장동 8-67번지 
111	충정로 삼성 홈스테이	서울특별시 중구 중림동 200번지 106동 801호
112	명동 웰컴 게스트하우스	서울특별시 중구 회현동2가 42-1번지 2층 
113	서울 타이완 게스트하우스2	서울특별시 중구 회현동1가 88-3번지 전층 
114	마루지 게스트하우스	서울특별시 마포구 연남동 504-16번지 
115	옐로우 서브마린	서울특별시 마포구 연남동 259-15번지 
116	Seoulwise Guesthouse	서울특별시 마포구 동교동 197-29번지 
117	두리월드하우스	서울특별시 마포구 연남동 570-32번지 지1~2 
118	코멧 게스트하우스	서울특별시 용산구 한강로2가 18-1번지 
119	제니하우스	서울특별시 용산구 보광동 265-210번지 
120	더블랙웨일	서울특별시 용산구 갈월동 28-12번지 
121	YL게스트하우스	서울특별시 중구 회현동2가 42-7번지 2층 
122	USB하우스	서울특별시 중구 장충동2가 186-32번지 301 
123	레인보우게스트하우스	서울특별시 중구 필동3가 79-18번지 
124	원즈빌	서울특별시 중구 주자동 42-2번지 
125	레드	서울특별시 중구 남산동2가 43-3번지 2층 
126	능마루게스트하우스	서울특별시 중구 남산동2가 39-5번지 
127	타오	서울특별시 중구 장충동2가 200-82번지 2~3층 
128	게스트하우스명동2	서울특별시 중구 남학동 23-5번지 
129	제이가든	서울특별시 중구 남산동2가 18-12번지 
130	씨티하우스	서울특별시 중구 중림동 324-4번지 용궁빌라 201호
131	웰컴게스트하우스	서울특별시 중구 회현동2가 42-1번지 1층 
132	스타리아호스텔	서울특별시 중구 남산동2가 27-6번지 3층 
133	에이블게스트하우스	서울특별시 중구 을지로7가 54번지 
134	베스틴빌라	서울특별시 중구 남산동2가 49-3번지 1층 1호
135	서울게스트하우스 공간	서울특별시 중구 필동2가 110-3번지 
136	수게스트하우스	서울특별시 중구 남산동2가 18-11번지 
137	Crib49게스트하우스	서울특별시 중구 남산동2가 49-28번지 
138	더힐	서울특별시 중구 예장동 8-80번지 
139	IU게스트하우스	서울특별시 중구 회현동2가 42-7번지 3층 
140	24게스트하우스남산가든점	서울특별시 중구 남산동2가 37-1번지 
141	남산 포레스트	서울특별시 중구 남산동1가 16-6번지 
142	보듬	서울특별시 중구 회현동2가 48-11번지 
143	루카스게스트하우스	서울특별시 중구 남산동1가 16-6번지 4층 
144	더메이 포레스트빌	서울특별시 중구 장충동1가 33-8번지 1층 
145	서울명동게스트하우스	서울특별시 중구 남산동3가 13-19번지 
146	명동 맘하우스	서울특별시 중구 남산동3가 13-21번지 6층 
147	서울 타이완 게스트하우스	서울특별시 중구 회현동1가 88-4번지 
148	플랜에이호스텔	서울특별시 중구 신당동 236-293번지 
149	무지개 게스트하우스	서울특별시 중구 충무로3가 57-3번지 옥탑층 
150	더 다다하우스	서울특별시 중구 남산동2가 14-6번지 1~2층 
151	코지스테이	서울특별시 중구 황학동 17번지 
152	웰 프러스 비앤비 게스트하우스	서울특별시 중구 남산동2가 27-2번지 3층 
153	원미닛게스트하우스	서울특별시 중구 남대문로5가 622번지 1~3층 
154	88 게스트하우스	서울특별시 중구 회현동3가 4-3번지 
155	드림하우스1	서울특별시 중구 남창동 190-14번지 2층 
156	드림하우스2	서울특별시 중구 남창동 190-14번지 3층 
157	국제게스트하우스	서울특별시 중구 회현동1가 82-14번지 
158	엔포시즌	서울특별시 중구 회현동1가 100-49번지 지상2층 202호 
159	B my guesthouse	서울특별시 중구 회현동2가 32-5번지 
160	컴온 게스트하우스	서울특별시 중구 필동2가 91번지 
161	오케이빌	서울특별시 중구 산림동 207-2번지 대림아파트 1258호 
162	아지트 게스트하우스	서울특별시 중구 신당동 368-59번지 
163	아이하우스	서울특별시 중구 회현동2가 48-30번지 3층 401호
164	더붓메인	서울특별시 중구 필동2가 17-5번지 
165	더붓서브	서울특별시 중구 필동2가 17-1번지 
166	그랜드필드게스트하우스	서울특별시 중구 남산동1가 16-6번지 그랜드필드 5층 602호 
167	제이오너	서울특별시 중구 회현동2가 42-10번지 301호 
168	마마 게스트하우스1	서울특별시 중구 예장동 8-44번지 1층 
169	홀리하우스	서울특별시 강남구 역삼동 775-7번지 현대빌라 
170	SJ HOUSE	서울특별시 마포구 동교동 198-13번지 
171	예성 게스트하우스	서울특별시 마포구 합정동 432-19번지 
172	Kassy's House	서울특별시 마포구 연남동 224-38번지 J house 
173	베리베리 하우스(berry berry)	서울특별시 용산구 이태원동 96-21번지 
174	BRO & SIS	서울특별시 용산구 서계동 109번지 
175	hongdae BIG	서울특별시 마포구 서교동 340-12번지 협화빌라 
176	The Suite House	서울특별시 송파구 송파동 22-12번지 아트하우스 201호
177	그린월드 게스트하우스	서울특별시 강서구 마곡동 748번지 마곡13단지힐스테이트마스터 1322동 1603호
178	엘림하우스	서울특별시 용산구 서계동 33-76번지 
179	B&B 2ND FLOOR(비앤비세컨플로)	서울특별시 성동구 옥수동 512번지 래미안옥수리버젠아파트 114동 203호
180	HaHa guest house	서울특별시 용산구 한강로1가 224-1번지 
181	진스파라다이스	서울특별시 용산구 이태원동 166-18번지 
182	하우스(HA;US)	서울특별시 용산구 보광동 265-949번지 3층동 
183	UN게스트하우스	서울특별시 용산구 한남동 1-35번지 유엔맨숀 2층동 A호
184	팝앳이태원	서울특별시 용산구 이태원동 34-91번지 2층 
185	서울펜슬	서울특별시 용산구 청파동3가 108-2번지 
186	이태원인	서울특별시 용산구 이태원동 99-16번지 4층 
187	이즈앳케이 게스트하우스	서울특별시 용산구 한남동 685-1번지 3층 
188	이태원G 게스트하우스	서울특별시 용산구 이태원동 131-11번지 3층 
189	Noel's Guest House	서울특별시 용산구 이태원동 129-18번지 
